"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105104,440,"EFE_full","EFE_full",-251.293316150423,-289.5596067742,-264.538110220809,-304.984759446376,-260.423478240791,-295.646381501112,-270.624884947721,-311.071534173289,38.2662906237771,35.222903260321
"EFE_full",105105,440,"EFE_full","EFE_full",-246.850324985729,-293.320858399993,-266.285154886831,-304.984759446376,-255.980487076098,-299.407633126905,-272.371929613744,-311.071534173289,46.4705334142637,43.4271460508076
"EFE_full",105106,440,"EFE_full","EFE_full",-251.274115464207,-299.206702075329,-269.817385874792,-304.984759446376,-260.404277554575,-305.293476802242,-275.904160601704,-311.071534173289,47.9325866111222,44.8891992476661
"EFE_full",105107,440,"EFE_full","EFE_full",-253.047167114376,-294.470655920789,-288.13666646229,-304.984759446376,-262.177329204745,-300.557430647702,-294.223441189203,-311.071534173289,41.4234888064132,38.380101442957
"EFE_full",105108,440,"EFE_full","EFE_full",-266.154256473724,-298.759725956845,-281.109543855666,-Inf,-275.284418564092,-304.846500683758,-287.196318582578,-Inf,32.6054694831216,29.5620821196654
"EFE_full",105109,440,"EFE_full","EFE_full",-250.371064643437,-293.673304804141,-268.216927232544,-304.984759446376,-259.501226733806,-299.760079531053,-274.303701959456,-311.071534173289,43.3022401607038,40.2588527972476
"EFE_full",105110,440,"EFE_full","EFE_full",-251.206453662338,-294.918920645667,-273.562767029629,-304.984759446376,-260.336615752706,-301.005695372579,-279.649541756542,-311.071534173289,43.7124669833288,40.6690796198726
"EFE_full",105111,440,"EFE_full",NA,-265.281334724723,-298.662288826624,-266.49689904469,-304.984759446376,-274.411496815091,-304.749063553537,-272.583673771602,-311.071534173289,33.3809541019016,30.3375667384455
"EFE_full",105112,440,"EFE_full","EFE_full",-249.189409930655,-295.00042651452,-260.515736917765,-304.984759446376,-258.319572021023,-301.087201241432,-266.602511644677,-311.071534173289,45.8110165838648,42.7676292204086
"EFE_full",105113,440,"EFE_full","EFE_full",-250.177233729513,-298.109299571201,-265.485078576999,-304.984759446376,-259.307395819882,-304.196074298113,-271.571853303911,-311.071534173289,47.9320658416877,44.8886784782315
"EFE_full",105114,440,"EFE_full","EFE_full",-239.505999382403,-294.367368993803,-264.684276467694,-304.984759446376,-248.636161472771,-300.454143720716,-270.771051194606,-311.071534173289,54.8613696114008,51.8179822479447
"EFE_full",105115,440,"EFE_full","EFE_full",-246.630409769176,-296.237042291016,-270.454753550201,-304.984759446376,-255.760571859545,-302.323817017929,-276.541528277113,-311.071534173289,49.6066325218399,46.5632451583838
"EFE_full",105116,440,"EFE_full","EFE_full",-245.023970360669,-297.530261486571,-261.849896920792,-304.984759446376,-254.154132451037,-303.617036213484,-267.936671647705,-311.071534173289,52.5062911259027,49.4629037624465
"EFE_full",105117,440,"EFE_full","EFE_full",-246.38928304879,-293.298340020079,-268.817339934946,-304.984759446376,-255.519445139159,-299.385114746991,-274.904114661858,-311.071534173289,46.9090569712885,43.8656696078324
"EFE_full",105118,440,"EFE_full","EFE_full",-246.425972114199,-294.564715886633,-266.675612790843,-304.984759446376,-255.556134204568,-300.651490613545,-272.762387517756,-311.071534173289,48.1387437724339,45.0953564089778
"EFE_full",105119,440,"no_epistemic","no_epistemic",-282.789126571944,-292.48644473054,-272.879048831345,-304.984759446376,-291.919288662312,-298.573219457452,-278.965823558257,-311.071534173289,9.69731815859558,6.65393079513944
"EFE_full",105120,440,"EFE_full","EFE_full",-263.32419518323,-304.343756788738,-269.19625598157,-304.984759446376,-272.454357273599,-310.43053151565,-275.283030708482,-311.071534173289,41.0195616055075,37.9761742420514
"EFE_full",105121,440,"EFE_full","EFE_full",-250.058666478905,-294.891194486589,-268.744294340536,-304.984759446376,-259.188828569273,-300.977969213502,-274.831069067449,-311.071534173289,44.8325280076846,41.7891406442285
"EFE_full",105122,440,"no_epistemic","no_epistemic",-447.614227257586,-446.422226138264,-269.05058934955,-304.984759446376,-456.744389347954,-452.509000865177,-275.137364076462,-311.071534173289,-1.19200111932156,-4.23538848277769
"EFE_full",105123,440,"EFE_full","EFE_full",-251.748593279903,-292.325374829196,-263.443484677899,-304.984759446376,-260.878755370271,-298.412149556108,-269.530259404812,-311.071534173289,40.5767815492933,37.5333941858372
"EFE_full",105124,440,"no_epistemic","no_epistemic",-275.769738686487,-301.530716172285,-271.460961246674,-304.984759446376,-284.899900776856,-307.617490899197,-277.547735973586,-311.071534173289,25.7609774857975,22.7175901223414
"EFE_full",105125,440,"EFE_full","EFE_full",-258.458690988758,-294.402092873934,-283.338736438086,-304.984759446376,-267.588853079126,-300.488867600846,-289.425511164998,-311.071534173289,35.9434018851759,32.9000145217198
"EFE_full",105126,440,"EFE_full","EFE_full",-251.681016313399,-394.382140564329,-271.749026499923,-304.984759446376,-260.811178403768,-400.468915291241,-277.835801226835,-311.071534173289,142.70112425093,139.657736887473
"EFE_full",105127,440,"EFE_full","EFE_full",-240.517313842234,-296.14808289726,-263.046161978182,-304.984759446376,-249.647475932603,-302.234857624172,-269.132936705095,-311.071534173289,55.6307690550256,52.5873816915695
"EFE_full",105128,440,"EFE_full","EFE_full",-242.275719721582,-294.740780515364,-266.901788371512,-304.984759446376,-251.40588181195,-300.827555242276,-272.988563098424,-311.071534173289,52.4650607937826,49.4216734303265
"EFE_full",105129,440,"EFE_full","EFE_full",-255.764711761863,-293.199735217646,-264.541523646866,-304.984759446376,-264.894873852232,-299.286509944558,-270.628298373778,-311.071534173289,37.4350234557827,34.3916360923266
"EFE_full",105130,440,"EFE_full","EFE_full",-243.238816218992,-294.812237371056,-265.672503863385,-304.984759446376,-252.368978309361,-300.899012097968,-271.759278590297,-311.071534173289,51.5734211520637,48.5300337886076
