"dgp","seed","n_test","winner_raw","winner_pen","raw_EFE_full","raw_no_identity","raw_no_epistemic","raw_RI_cost","pen_EFE_full","pen_no_identity","pen_no_epistemic","pen_RI_cost","delta_raw_EFE_minus_noid","delta_pen_EFE_minus_noid"
"EFE_full",105044,440,"EFE_full","EFE_full",-240.408422346326,-337.784945626925,-263.302483620766,-304.984759446376,-249.538584436694,-343.871720353837,-269.389258347679,-311.071534173289,97.3765232805988,94.3331359171426
"EFE_full",105045,440,"EFE_full","EFE_full",-242.31586075056,-314.742873939512,-260.909182889929,-304.984759446376,-251.446022840928,-320.829648666425,-266.995957616841,-311.071534173289,72.4270131889529,69.3836258254967
"EFE_full",105046,440,"no_epistemic","no_epistemic",-279.334188150336,-360.778166174611,-254.240728985071,-304.984759446376,-288.464350240705,-366.864940901523,-260.327503711984,-311.071534173289,81.4439780242745,78.4005906608184
"EFE_full",105047,440,"EFE_full","EFE_full",-227.781204415427,-310.078048738377,-260.728059706841,-304.984759446376,-236.911366505796,-316.164823465289,-266.814834433754,-311.071534173289,82.2968443229498,79.2534569594937
"EFE_full",105048,440,"EFE_full","EFE_full",-238.822091299789,-314.271340614946,-260.041274767403,-304.984759446376,-247.952253390158,-320.358115341858,-266.128049494315,-311.071534173289,75.4492493151564,72.4058619517003
"EFE_full",105049,440,"EFE_full","EFE_full",-233.082906291573,-332.789083560563,-260.338526932352,-304.984759446376,-242.213068381942,-338.875858287475,-266.425301659264,-311.071534173289,99.7061772689896,96.6627899055334
"EFE_full",105050,440,"EFE_full","EFE_full",-239.498433213263,-332.297984403343,-255.889483534288,-304.984759446376,-248.628595303631,-338.384759130256,-261.9762582612,-311.071534173289,92.7995511900805,89.7561638266244
"EFE_full",105051,440,"EFE_full","EFE_full",-228.205132342725,-312.656239662645,-261.008086531758,-304.984759446376,-237.335294433093,-318.743014389557,-267.09486125867,-311.071534173289,84.4511073199202,81.4077199564641
"EFE_full",105052,440,"EFE_full","EFE_full",-237.359166384231,-317.833619745093,-257.113201401932,-304.984759446376,-246.489328474599,-323.920394472006,-263.199976128844,-311.071534173289,80.4744533608622,77.431065997406
"EFE_full",105053,440,"EFE_full","EFE_full",-231.691582560895,-310.115693860983,-256.052252403871,-304.984759446376,-240.821744651263,-316.202468587896,-262.139027130783,-311.071534173289,78.4241113000882,75.3807239366321
"EFE_full",105054,440,"EFE_full","EFE_full",-237.78465557003,-319.534450989097,-257.891249771167,-304.984759446376,-246.914817660398,-325.62122571601,-263.97802449808,-311.071534173289,81.7497954190678,78.7064080556117
"EFE_full",105055,440,"EFE_full","EFE_full",-242.014938584127,-309.650174070428,-273.481556665712,-304.984759446376,-251.145100674495,-315.73694879734,-279.568331392624,-311.071534173289,67.6352354863009,64.5918481228448
"EFE_full",105056,440,"EFE_full","EFE_full",-233.754905378515,-313.924624626319,-261.541348369367,-304.984759446376,-242.885067468883,-320.011399353232,-267.628123096279,-311.071534173289,80.1697192478048,77.1263318843487
